part 1:
1;5ffour295;0x3566666F7572323935;5|2|9|5;5295;55
2;m9qvkqlgfhtwo3seven4seven;0x6D3971766B716C67666874776F33736576656E34736576656E;9|3|4;934;94
3;2vdqng1sixzjlkjvq;0x327664716E67317369787A6A6C6B6A7671;2|1;21;21
4;5twonineeight3onefive;0x3574776F6E696E656569676874336F6E6566697665;5|3;53;53
5;2three2seveneightseven;0x32746872656532736576656E6569676874736576656E;2|2;22;22
6;eightsevenfive3bcptwo;0x6569676874736576656E666976653362637074776F;3;3;3
7;five8six;0x6669766538736978;8;8;8
8;twonineseven24one3;0x74776F6E696E65736576656E32346F6E6533;2|4|3;243;23
9;one8bdxplbtfninefourspqn;0x6F6E6538626478706C6274666E696E65666F75727370716E;8;8;8
10;nineeight3fiveseven;0x6E696E6565696768743366697665736576656E;3;3;3
11;xmkhttr64htgvhjfivefcjlzjqrsjlfivekbcnhqpzg;0x786D6B68747472363468746776686A6669766566636A6C7A6A7172736A6C666976656B62636E6871707A67;6|4;64;64
12;261flvsthree;0x323631666C76737468726565;2|6|1;261;21
13;one2mgnphzcx45rmnffneight;0x6F6E65326D676E70687A63783435726D6E66666E6569676874;2|4|5;245;25
14;sevenfivesixzvpone8f1plj;0x736576656E666976657369787A76706F6E65386631706C6A;8|1;81;81
15;ccthpbg6six3;0x636374687062673673697833;6|3;63;63
16;f1hzds5kfdsj;0x6631687A6473356B6664736A;1|5;15;15
17;qkneightwofourninejzjfmkjv8eightthdtp;0x716B6E6569676874776F666F75726E696E656A7A6A666D6B6A763865696768747468647470;8;8;8
18;eight62rvkjphrdtwoseventwo28;0x6569676874363272766B6A7068726474776F736576656E74776F3238;6|2|2|8;6228;68
19;eight33;0x65696768743333;3|3;33;33
20;sevenkzvnkj5ftone;0x736576656E6B7A766E6B6A3566746F6E65;5;5;5
21;76sixrcznjkthreethree72nf;0x373673697872637A6E6A6B7468726565746872656537326E66;7|6|7|2;7672;72
22;5nnine;0x356E6E696E65;5;5;5
23;3cjseventhreen;0x33636A736576656E74687265656E;3;3;3
24;sixsix18ctxvtxbs;0x73697873697831386374787674786273;1|8;18;18
25;7mksmd9threetnkbtwo;0x376D6B736D64397468726565746E6B6274776F;7|9;79;79
26;7hxnrgnl8;0x3768786E72676E6C38;7|8;78;78
27;vq3dcgtlzgfives8kthone7;0x767133646367746C7A676669766573386B74686F6E6537;3|8|7;387;37
28;76tmpjjvbzzclfour;0x3736746D706A6A76627A7A636C666F7572;7|6;76;76
29;ptwonefive2threekfrtvnbmplpsevenseven;0x7074776F6E65666976653274687265656B667274766E626D706C70736576656E736576656E;2;2;2
30;79sixone;0x37397369786F6E65;7|9;79;79
31;mheightfhllpvk6rdnrznkndp;0x6D68656967687466686C6C70766B3672646E727A6E6B6E6470;6;6;6
32;7sixfjsspxhljrtsz39szdtsrfkh;0x37736978666A73737078686C6A7274737A3339737A64747372666B68;7|3|9;739;79
33;3prqtwolcljdhcksix6three3gjkvcsz;0x3370727174776F6C636C6A6468636B73697836746872656533676A6B7663737A;3|6|3;363;33
34;31vjpsdqlncjone;0x3331766A707364716C6E636A6F6E65;3|1;31;31
35;2qhbsjcxqfive;0x32716862736A63787166697665;2;2;2
36;cccgsqgj2seveneight2;0x636363677371676A32736576656E656967687432;2|2;22;22
